LANGCODE	EXAMPLE	SOURCE	REFERENCE	REFERENCE_PAGE	CAT	GROUPID	EDITOR	COMMENT	VERSION	COMMENT_INTERN
ru	Вероятно, различий гораздо больше.	PS			EXIST, EPIST	BS0001	Barbara		1	
ru	Господа молча обнялись.	PS			RECI	BS0002	Barbara		1	
ru	Я немного испугался.	PS			ITR	BS0003	Barbara		1	
cs	Je možné, že rozdílů je víc.	PS			EXIST, EPIST	BS0004	Barbara		1	
bcms	Možda ima više razlika.	PS			EXIST, EPIST	BS0004	Barbara		1	
bcms	Gospoda nemo su se zagrlili.	PS			RECI	BS0005	Barbara		1	
bcms	Malo se uplaših.	PS			ITR, DROP	BS0006	Barbara		1	
pl	Jacek rozbil samochód Roberta.		Šarić (2002)		POSS	BS0007	Barbara		1	
pl	Jacek rozbil Robertowi samochód.		Šarić (2002)		POSS	BS0007	Barbara		1	
cs	Je možné, že rozdílů je víc.	PS			EXIST, EPIST	BS0004	Barbara		1	
ru	Я найму тебе отдельную комнату.	NKRJa			PFUT, DOM-ANIM	BS0009	Barbara		1	
ru	Я найму тебе адвоката.	NKRJa			PFUT, DOM-ANIM	BS0009	Barbara		1	zu diskutieren: sollen Sätze wie diese beiden verknüpft werden? In der Gegenüberstellung zeigen sich die Bedingungen an DOM. und: soll hier auch der erste Satz mit 'DOM' annotiert werden?
bcms	Tamo bismo bili sami.	PS			HYP	BS0010	Barbara		1	
cs	Tam bychom byli sami.	PS			HYP	BS0010	Barbara		1	diese Sätze sollten als Parallebeispiele miteinander verknüpft werden (hier trotz Übersetzung unproblematisch)
pl	Tam byli by śmy sami.	PS			HYP	BS0010	Barbara		1	
ru	Там мы были бы одни.	PS			HYP	BS0010	Barbara		1	
ru	Злых людей нет на свете.	PS			DSM, EXIST-NEG	BS0011	Barbara		1	
bcms	Zlih ljudi nema na svijetu.	PS			DOM, EXIST-NEG	BS0011	Barbara		1	
ru	Ты мне палец сломала.	OPUS			POSS	BS0012	Barbara		1	
ru	Когда-то она была учительницей начальной школы, и неплохой ― дети её любили.	NKRJa			NOMPRED	BS0013	Barbara	This example has been adapted from the original source.	1	zweimal Prädikatsnomen, mit Ins bzw. Nom
ru	Она была учительница и постеснялась идти по деревне в неприличном виде.	NKRJa			NOMPRED	BS0013	Barbara		1	
ru	Она стала серьезной.	NKRJa			NOMPRED	BS0014	Barbara		1	zweimal Prädikatsnomen, mit Ins bzw. Nom
ru	Какая она стала большая!	NKRJa			NOMPRED	BS0014	Barbara		1	
ru	Семен обзвонил городские гостиницы, но ни Светланы, ни Влада не нашел.	NKRJa			DOM-NEG	BS0015	Barbara		1	negiertes Objekt, mit Gen bzw Akk (bei jeweils hochindividualisierten Referenten)
ru	Я не нашла маму с сестренкой, еду без них.	NKRJa			DOM-NEG	BS0015	Barbara		1	
ru	Она видела папу римского.	NKRJa			DOM-ANIM, AGRSEM	BS0016	Barbara		1	interessant wg. interaktion von formaler & semantischer Kongruenz & DOM-ANIM innerhalb der Objekt-NP
ru	Сама бы профессором стала.	NKRJa			NOMPRED, AGRSEM	BS0017	Barbara		1	
bcms	To neću raditi ja, to ćete uraditi vi sami.	PS			FUTUR	BS0018	Barbara		1	Unterschiedliche Kohäsion beim Futur in beiden Sätzen; passt/reicht hier FUTUR?
bcms	Naučićeš vrlo brzo.	PS			FUTUR	BS0018	Barbara		1	
ru	У меня голова заболела.	PS			POSS	BS0019	Barbara		1	
bcms	Boli me glava.	PS			POSS	BS0019	Barbara		1	mit dem ru Bsp verbinden, um die Unterschiede in der Konstruktion zu zeigen? Oder völlig unabhängig erfassen?
ru	У меня тут подарочек.	PS			POSS	BS0020	Barbara		1	
bcms	Šta, imaš samo tu haljinu?	PS			POSS	BS0021	Barbara		1	
bcms	Imaš li neki plan?	PS			POSS, IDEFIN, NSPEC	BS0022	Barbara		1	
bcms	Gde ti je revolver?	PS			POSS	BS0023	Barbara		1	
bcms	To si sigurno pročitao u nekoj grčkoj knjizi?	PS			IDEFIN, SPEC	BS0024	Barbara		1	
cs	Co si tedy máme zvolit?	PS			SA-DIR	BS0025	Barbara		1	
ru	Мне ждать тебя?	PS			SA-DIR, IPER	BS0026	Barbara		1	
cs	Opravdu, jsou knihy pro den a knihy, které můžete číst jen v noci.	PS			EXIST, RC	BS0027	Barbara		1	
cs	Jsou to otázky, na které není odpověď.	PS			NOMPRED, RC	BS0028	Barbara		1	
ru	Зачем мне это делать?	PS			SA-DIR, IPER	BS0029	Barbara		1	
ru	Пусть сам принесет в сад вечером.	PS			SA-DIR, DROP	BS0030	Barbara		1	
ru	Что говорить, о чем?	PS			SA-DIR, IPER	BS0031	Barbara		1	
bcms	Ali pustite me da objasnim što se dogodilo jutros.	PS			SA-DIR	BS0032	Barbara		1	
cs	Ale nechte mě napřed objasnit, co se stalo dnes ráno.	PS			SA-DIR	BS0033	Barbara		1	
bcms	Odakle znaš da sam ja onaj dobri stari Štakor koji je doletio ovamo prije dvije godine.	PS			DEFIN	BS0034	Barbara		1	
bcms	Dobar znamen za susret.	PS			IDEFIN	BS0034	Barbara		1	
bcms	Kažu da je jako skup i krhak.	PS			EVID, DROP	BS0035	Barbara		1	
cs	Prý je velice drahý a taky křehký.	PS			EVID, DROP	BS0036	Barbara		1	
ru	Все переглянулись.	PS			RECI	BS0037	Barbara		1	
bcms	Svi stadoše gledati jedni u druge.	PS			RECI	BS0037	Barbara		1	
pl	Wszyscy spojrzeli jedni po drugich.	PS			RECI	BS0037	Barbara		1	
ru	Только после этого он дал себя убедить.	PS			GIVE	BS0038	Barbara		1	
ru	А Малахия дал нам понять, что кто-то ему что-то похожее предсказал.	PS			GIVE, IDEFIN, SPEC	BS0039	Barbara		1	
cs	Však uvidíš sám, jaký palác si dal vystavět.	PS			GIVE, DROP	BS0040	Barbara		1	
cs	Stejně jako její dcera i Terezina matka se ráda dívala do zrcadla.	PS			REFL	BS0041	Barbara		1	
ru	Она так же, как и ее дочь, любила смотреться в зеркало.	PS			REFL	BS0041	Barbara		1	
pl	Podobnie jak jej córka, matka Teresy lubiła patrzeć w lustro.	PS			REFL	BS0041	Barbara		1	
bcms	Isto kao njena kći, i Terezina majka je voljela da se posmatra u ogledalu.	PS			REFL	BS0041	Barbara		1	
cs	I tak se dá ovlivnit představení.	CNC			GIVE	BS0042	Barbara		1	
cs	Před fotografiemi se nedá utéct.	CNC			GIVE	BS0043	Barbara		1	
cs	Děda se dal do řeči a vyprávěl, že [...]	CNC			GIVE	BS0044	Barbara	This example has been adapted from the original source.	1	
cs	Dalo by se předpokládat, že [...]	CNC			GIVE	BS0045	Barbara	This example has been adapted from the original source.	1	
ru	Специалист добавила, что [...]	AiF			AGRSEM	BS0046	Barbara	This example has been adapted from the original source.	1	
ru	Это было одной из причин, почему она стала моей подругой.	NKRJa			NOMPRED	BS0047	Barbara		1	
ru	Сама бы профессором стала.	NKRJa			NOMPRED, AGRSEM	BS0049	Barbara		1	
ru	Было темно и прохладно.	PS			IPER	BS0050	Barbara		1	
ru	Новым командиром МКС стал космонавт Шкаплеров.	AiF			NOMPRED	BS0051	Barbara		1	
ru	Настя вышла в магазин, купила молока и хлеба и сразу вернулась.	NKRJa			DOM	BS0052	Barbara		1	
ru	Девушка побежала в магазин и купила молоко и сыр.	NKRJa			DOM	BS0052	Barbara		1	
ru	Семен обзвонил городские гостиницы, но ни Светланы, ни Влада не нашел.	NKRJa			DOM	BS0053	Barbara		1	Eigennamen, aber hier als Art Kategorie gemeint
ru	Я не нашла маму с сестренкой, еду без них.	NKRJa			DOM	BS0053	Barbara		1	Eigenname/Anrede
pl	Ola pochlapała Kasi kurtkę.		Šarić (2002)		POSS	BS0054	Barbara		1	
bcms	Taj savetnik je malopre kod Patrijaršijskih ribnjaka ubio Mišu Berlioza.	PS			DOM	BS0055	Barbara		1	formales Agreement auch anzeigen?
ru	Сколько раз тебе говорить?	NKRJa			IPER, SA-DIR	BS0056	Barbara		1	
ru	Мы поцеловались, обнялись, распрощались, и Слава побежал домой.	NKRJa			RECI	BS0057	Barbara		1	
ru	Тарелка выскользнула из рук, разбилась.	NKRJa			ITR	BS0058	Barbara		1	
pl	Więc co mam robić?	PS			SA-DIR, DEO	BS0059	Barbara		1	
pl	Cóż więc zrobimy teraz?	PS			SA-DIR, DEO	BS0059	Barbara		1	
cs	Co tedy máme dělat?	PS			SA-DIR, DEO	BS0060	Barbara		1	
bcms	Kod nas u stanu ničeg takvog nema.	PS			EXIST, DOM	BS0061	Barbara		1	
cs	Prý je velice drahý a taky křehký.	PS			EVID	BS0062	Barbara		1	
bcms	Priča se da je veoma skupa, i krhka.	PS			EVID	BS0062	Barbara		1	
pl	Mówi się, że jest bardzo drogi i kruchy.	PS			EVID	BS0062	Barbara		1	
ru	Говорят, он дорог и недолговечен.	PS			EVID	BS0062	Barbara		1	
bcms	I šta sad da ti radim zbog toga?	PS			SA-DIR, DEO	BS0063	Barbara		1	
ru	Те, кто еще не снял шляпу, поспешил хотя бы теперь обнажить голову.	PS			RC	BS0064	Barbara		1	nicht in allen Sprachen eine Rel-Konstr, aber deshalb interessant; Problem: können wir bcsm als REL annotieren?
cs	Kdo měl ještě pokrytou hlavu, smekl teď čepici.	PS			RC	BS0064	Barbara		1	
pl	Kto dotąd nie zdjął jeszcze czapki, ściągał ją teraz.	PS			RC	BS0064	Barbara		1	
bcms	Ako je neko imao nešto na glavi sad je bio poslednji trenutak da to skine.	PS			RC	BS0064	Barbara		1	
ru	Он всегда боялся, как бы его не обворовали.	NKRJa			APPR	BW0001	Björn		1	
pl	Krwi tyle, że niech Bóg uchowa!	NKJP			SA-OPT	BW0002	Björn		1	
ru	Он ее руку не показывает, а ты ухитрись и посмотри.	NKRJa			ECH, IMPP, PCOORD	BW0003	Björn		1	
ru	Галкин, в свою очередь, взял и заговорил на кабардинском языке!	Komsomol’skaja pravda, 06/08/2008			TAKE, PCOORD	BW0004	Björn		1	
pl	Lubię psy, ale nie lubię kotów.				DOM-NEG	BW0005	Björn		1	
pl	Nalała sobie herbaty.				DOM-IND	BW0005	Björn		1	
pl	Na przyjęciu spotkał kolegów i koleżanki.				DOM-ANIM	BW0006	Björn		1	
pl	Inwencja wiernych nie zna granic. Tym, czego nie znajdziemy w innych wspólnotach parafialnych, jest kościelna kawiarnia.	NKJP			CIRC	BW0007	Björn	This example has been adapted from the original source.	1	
pl	Zaraz zacznie padać.				EPIST, FUTUR	BW0008	Björn		1	
ru	Роль дружки велика ― он отвечал за коней и следил, как бы свадьбе не повредили местные колдуны.	NKRJa			APPR	BW0009	Björn	This example has been adapted from the original source.	1	
ru	И Володя однажды сказал мне, что там возникли проблемы, и обронил фразу ― Как бы меня не убили.	NKRJa			APPR	BW0009	Björn	This example has been adapted from the original source.	1	
ru	И парень начал опасаться, как бы его неуверенности не заметили остальные.	NKRJa			APPR	BW0009	Björn		1	
ru	Она вылезла из воды и сказала ― Ах, как хорошо! ― лишь бы никто не увидел, как ей больно.	NKRJa			APPR	BW0009	Björn	This example has been adapted from the original source.	1	
ru	В то же время союзники весьма боялись, что Россия заключит сепаратный мир с Германией.	NKRJa			APPR	BW0010	Björn		1	
ru	[...] скороговоркой, холодновато объяснялся Институтов, волнуясь, как бы служка совсем не уронил его авторитет.	NKRJa			APPR	BW0011	Björn	This example has been adapted from the original source.	1	
ru	Она задумчиво гладила Баха по волосам, а в её хитрой головке поднялось опасение, как бы эта неясная сила не захватила её, не завертела, не погубила [...].	NKRJa			APPR	BW0012	Björn	This example has been adapted from the original source.	1	
ru	Он всем доволен, лишь бы его не беспокоили, он величайший эпикуреец.	NKRJa			APPR	BW0013	Björn		1	
pl	Dla Uli przejście przez kładkę stanowiło za każdym razem przykrą próbę, bała się, żeby żerdzie się nie rozbujały [...].	NKJP			APPR	BW0014	Björn		1	
pl	Boję się, żeby ich nie skrzywdzono [...].	NKJP			APPR	BW0015	Björn	This example has been adapted from the original source.	1	
pl	Bała się tylko, aby Andrzej na nią nie krzyczał.	NKJP			APPR	BW0016	Björn		1	
pl	Obawiam się, że przez takie małżeństwo moja rodzina się rozpadnie [...].	NKJP			APPR	BW0017	Björn	This example has been adapted from the original source.	1	
cs	Aby nám nepršelo na cestu.		Lichtenberk (1995)	310	APPR	BW0018	Björn	This example has been adapted from the original source.	1	
cs	Neztrať ten klíč!		Kučera (1984)		APPR, PRV	BW0019	Björn	This example has been adapted from the original source.	1	
pl	Nie posól [...] kompotu!		Laskowski (1998)	19	APPR, PRV	BW0020	Björn	This example has been adapted from the original source.	1	
pl	Nie sprzedaj samochodu za tanio!		Laskowski (1998)	19	APPR, PRV	BW0021	Björn		1	
ru	Не сломай стул!			38	APPR, PRV	BW0022	Björn		1	
bcms	Немој да се разболиш!		Birjulin & Xrakovskij (2001)		APPR, PRV	BW0023	Björn		1	
bcms	Немој сада отворити прозор!		Wiemer (2022)		SA-DIR, DEO	BW0024	Björn	This example has been adapted from the original source.	1	
bcms	Немој сада отварати прозор!		Wiemer (2022)		SA-DIR, DEO	BW0024	Björn	This example has been adapted from the original source.	1	
bcms	Немој сада да отвориш прозор!		Wiemer (2022)		SA-DIR, DEO	BW0024	Björn	This example has been adapted from the original source.	1	
bcms	Немој сада да отвараш прозор!		Wiemer (2022)		SA-DIR, DEO	BW0024	Björn	This example has been adapted from the original source.	1	
ru	Знаешь, что ― давай рок-группу создадим!	NKRJa			SA-DIR	BW0025	Björn	This example has been adapted from the original source.	1	
ru	Давай в выходные встретимся.	NKRJa			SA-DIR	BW0026	Björn		1	
ru	Давайте восстановим последнюю деревянную водяную мельницу в области ― просила она чиновников.	NKRJa			SA-DIR	BW0027	Björn	This example has been adapted from the original source.	1	
ru	Вовочка, давай погуляем вдвоём, смотри ― на улицах огни, тепло.	NKRJa			SA-DIR	BW0028	Björn	This example has been adapted from the original source.	1	
ru	Ладно ― наконец сказал Алёшка ― Давай, сделаем так [...].	NKRJa			SA-DIR	BW0029	Björn	This example has been adapted from the original source.	1	
pl	Skoro ma czyste intencje, niech odpowie.	NKJP			SA-DIR, SA-OPT	BW0030	Björn		1	
pl	Niech pan mi uwierzy ― z nią będzie panu lepiej.	NKJP			SA-DIR, SA-OPT	BW0031	Björn	This example has been adapted from the original source.	1	
pl	Będą chcieli prać się po pysku z miejscową kawalerką ― niech piorą się do pierwszej krwi i ostatniej sztachety w płocie.	NKJP			SA-DIR, RECI	BW0032	Björn	This example has been adapted from the original source.	1	
pl	Poza tym te pana ważne sprawy nic jej już nie obchodzą. Niech pan to wreszcie zrozumie i da jej spokój.	NKJP			SA-DIR	BW0033	Björn		1	
pl	Chcę z nią porozmawiać. Niech ona powie mi to sama. Prosto w oczy. Wtedy dam jej spokój.	NKJP			SA-DIR, SA-OPT	BW0034	Björn		1	
pl	Pieprzę to wszystko! Niech nic z tego nie zostanie! Żaden ślad! Niech to zniknie z powierzchni ziemi! Razem ze mną.	NKJP			SA-OPT	BW0035	Björn		1	
pl	Cześć, Agniecha. Przyjdę się pożegnać.	NKJP			RECI	BW0036	Björn		1	
pl	Ostrzegam cię, pierdolony wywrotowcu, jeden fałszywy ruch i jak każdy wróg ojczyzny pożegnasz się z życiem.	NKJP			RECI, SA-DIR	BW0036	Björn		1	
pl	Teraz ty mi zaufaj i powiedz, z kim była Ania. A potem pożegnamy się i wszystko będzie cacy.	NKJP			RECI	BW0036	Björn		1	
pl	Pożegnałam się z Elą przez telefon.	NKJP			RECI	BW0036	Björn		1	
pl	Kinga całuje Agnieszkę w policzek.	NKJP			POSS	BW0037	Björn		1	
pl	Przestań tak gadać.	NKJP			SA-DIR	BW0038	Björn		1	
pl	Wiem, że jeszcze wszystko się ułoży. Jestem tego pewna.	NKJP			EPIST	BW0038	Björn		1	
ru	Чтобы не было излишнего пиетета, чтобы не бояться, что я сейчас вот возьму и всё испорчу.	NKRJa			TAKE, PCOORD, IMPP	BW0039	Björn		1	
ru	А автор этой книги ― его друг и соратник ― красивую идею взял и спёр.	NKRJa			TAKE, PCOORD, IMPP	BW0040	Björn		1	
ru	Я решил так ― если он сочтёт, что я недоработал, то мы просто возьмём и придём к ней вместе.	NKRJa			TAKE, PCOORD, IMPP	BW0041	Björn	This example has been adapted from the original source.	1	
pl	Bo pies sobie nie pójdzie, nie weźmie i nie kupi jedzenia.		Nau et al. (2019)	283	TAKE, PCOORD, IMPP	BW0042	Björn		1	
pl	Wczoraj wziął mnie zdradził.		Andrason (2018)	586	TAKE, IMPP	BW0043	Björn		1	
ru	Все отидыхают, а я работай.		Fortuin (2000)	114-134	ECH	BW0044	Björn		1	
ru	Сяду-ка я, поработаю.	NKRJa			ECH	BW0045	Björn		1	
pl	Poczekaj, niech usiądę.				ECH	BW0046	Björn		1	Holvoet (2021)
pl	I to ma być dzieło sztuki?                       				ECH	BW0047	Björn		1	Holvoet (2021)
ru	Отойдя с полста метров, братик еще раз исхитрился и вдарил кнутом погромче.	NKRJa			IMPP, PCOORD	BW0048	Björn		1	
ru	Но Нюра давно уже знала, что никто за неё не исхитрится и не вырвет нужное ей для жизни.	NKRJa			IMPP, PCOORD	BW0049	Björn		1	
ru	Надо же было ухитриться купить мороженое, соединяющее в себе два этих ингредиента.	NKRJa			IMPP	BW0050	Björn		1	
ru	Удивительно, как я умудрялась и умудряюсь до сих пор обводить всех вокруг пальца.	NKRJa			IMPP	BW0050	Björn		1	
ru	Но ведь самое сложное ― не просто взять ребенка, а суметь его воспитать.	NKRJa			IMPP	BW0051	Björn		1	
ru	Вот Китай сумел привлечь почти всех ведущих автопроизводителей.	NKRJa			IMPP	BW0052	Björn		1	
ru	Таня услышала, но не сразу смогла подойти к окну.	NKRJa			IMPP	BW0053	Björn		1	
pl	Przed nim stał Pater i trzymał coś w wyciągniętej ręce. Muflon nie zdołał jednak dostrzec tego przedmiotu.	NKJP			IMPP	BW0054	Björn		1	
pl	Znowu opadły go wątpliwości, czy zdoła wykonać plan, mimo że jest to plan zaiste genialny w swojej prostocie.	NKJP			IMPP	BW0055	Björn		1	
ru	Остальное решите между собой сами.	NKRJa			RECI	BW0056	Björn		1	
ru	Что, вы совсем не говорите между собой по-французски?	NKRJa			RECI	BW0056	Björn	This example has been adapted from the original source.	1	
ru	После скручивания шаль и скатерть убирали, и новобрачные на глазах у всех целовались (молодились).	NKRJa			RECI	BW0057	Björn		1	
ru	Надя целовалась с военным.	NKRJa			RECI	BW0057	Björn		1	
ru	Я познакомилась с ним на автобусной остановке, мы разговорились, поняли, что интересны друг другу, и начали встречаться.	NKRJa			RECI	BW0058	Björn		1	
ru	В общежитии делились c соседями абсолютно всем, помогали, заботились друг о друге.	NKRJa			RECI	BW0059	Björn		1	
ru	Никогда до того не виделись, наслышаны были друг о друге.	NKRJa			RECI	BW0061	Björn		1	
ru	После поездки спутники обязательно оставляют друг о друге отзывы.	NKRJa			RECI	BW0062	Björn		1	
pl	Patrzyliśmy ze spokojem na tłum zdenerwowanych odpoczynkiem turystów ― pędzili od jednego zabytku do drugiego.	NKJP			RECI	BW0063	Björn	This example has been adapted from the original source.	1	
pl	Po chwili znalazł się w labiryncie małych uliczek [...]. Zapełniał je drepczący tłum. Jeden człowiek popychał drugiego i następował mu na pięty.	NKJP			RECI	BW0064	Björn	This example has been adapted from the original source.	1	
pl	Rozważali przez chwilę niezwykłe zdarzenie, patrząc jedni na drugich.	NKJP			RECI	BW0066	Björn		1	
pl	W seminariach każdy obserwuje każdego. Szpiegują się nawzajem i donoszą na siebie.	NKJP			RECI	BW0067	Björn		1	
pl	Próbowaliśmy przytulić nawzajem nasze śliskie ciała.	NKJP			RECI	BW0068	Björn		1	
pl	Więźniowie doprowadzani na msze przebywali w takich boksach, właściwie klatkach. Nie widzieli siebie nawzajem.	NKJP			RECI	BW0069	Björn		1	
pl	Stoją obok siebie, nie widząc się prawie, i upływa bardzo długa chwila, zanim pada pierwsze słowo.	NKJP			RECI	BW0069	Björn		1	
pl	Przez te wszystkie lata widzieliśmy się zaledwie pięć razy!	NKJP			RECI	BW0069	Björn		1	
pl	Bardzo tęsknię za bliską obecnością mężczyzny. Za wspieraniem się nawzajem.	NKJP			RECI	BW0070	Björn	This example has been adapted from the original source.	1	
pl	Flamenco jest wtedy, kiedy patrzymy na siebie nawzajem najgłębszym spojrzeniem, w którym widać duszę.	NKJP			RECI	BW0071	Björn		1	
pl	Zgadali się prędko, jak to ludzie jednego fachu. Spodobali się sobie wzajemnie.	NKJP			RECI	BW0073	Björn		1	
pl	Co ci szkodzi powiedzieć, z kim gadała, czy też, z kim się całowała.	NKJP			RECI	BW0077	Björn		1	
pl	Ludzie siedzieli przy stolikach, stali, obejmując się, i rozmawiali podniesionymi głosami.	NKJP			RECI	BW0078	Björn		1	
pl	Pozostali pędzili bimber, handlowali, dostarczali słoninę do Radomia i kłócili się między sobą.	NKJP			RECI	BW0079	Björn		1	
pl	Julek kłócił się z Ulą, że źle pakuje.	NKJP			RECI	BW0080	Björn		1	
pl	Przywitaliśmy się z panią Lachowiczową.	NKJP			RECI	BW0082	Björn		1	
pl	AGNIESZKA: Może powinnaś z nim pogadać? KINGA: O czym? AGNIESZKA: Wyjaśnicie sobie wszystko.	NKJP			RECI	BW0083	Björn	This example has been adapted from the original source.	1	
ru	Хозяйка испугалась подъехавшей машины и спряталась в чулан.	NKRJa			ITR	BW0084	Björn		1	
ru	Он бросился на выручку незадачливому Голынке.	NKRJa			ITR	BW0086	Björn		1	
ru	Морской конёк не бросается за добычей, а ждёт, пока она сама не подплывёт к нему.	NKRJa			ITR	BW0087	Björn		1	
ru	Как потом оказалось, первыми закрылись военные заводы.	NKRJa			ITR	BW0088	Björn		1	
ru	Особенно обидно, что после поражения многие двери для него закрылись, многие телефоны перестали отвечать.	NKRJa			ITR	BW0089	Björn		1	
ru	Обратно застегнись, это уже ни в какие ворота.	NKRJa			ITR	BW0090	Björn	This example has been adapted from the original source.	1	
ru	Зажмурился, посидел немного с закрытыми глазами, снова глянул в воду и отстриг кусочек правого.	NKRJa			ITR	BW0091	Björn		1	
ru	Помолчи, а?, просил Ферапонт и мучительно морщился.	NKRJa			ITR	BW0092	Björn	This example has been adapted from the original source.	1	
ru	Из самой середины уха бил фонтан седых волос, а большие удлинённые мочки морщились продольными складками.	NKRJa			ITR	BW0093	Björn		1	
ru	Георгий, не кидайтесь пустыми фразами.	NKRJa			ITR	BW0094	Björn		1	
ru	Я хваталась за карандаш, чтобы выплеснуть всё, что душило, не давало покоя.	NKRJa			ITR	BW0095	Björn		1	
ru	Сейчас ― бормотал он, продолжая рыться в портфеле.	NKRJa			ITR	BW0096	Björn	This example has been adapted from the original source.	1	
ru	Она получала двойки по математике, дралась и иногда даже вместе с мальчишками била девчонок.	NKRJa			ITR	BW0097	Björn		1	
ru	Ирина любила постоянно орущую мать, постоянно дерущегося брата.	NKRJa			ITR	BW0098	Björn		1	
ru	Слюна во рту оппортунистически жжется.	NKRJa			ITR	BW0100	Björn		1	
ru	Крапивой все поросло, и как жжется ― никогда раньше так не жглась.	NKRJa			ITR	BW0101	Björn		1	
ru	В 2001 году он освободился из тюрьмы и приехал попытать счастья в Москву.	NKRJa			ITR	BW0104	Björn		1	
ru	Люди в последние десять лет погрузились в более реальную жизнь.	NKRJa			ITR	BW0105	Björn		1	
ru	Гулкое эхо разнеслось по болотным окрестностям.	NKRJa			ITR	BW0107	Björn		1	
ru	Новые туфли жмут, но они разносятся [...].	NKRJa			ITR	BW0109	Björn	This example has been adapted from the original source.	1	
ru	Было так весело, драйвово, успевали и учиться, и гулять до упаду.	NKRJa			ITR	BW0110	Björn		1	
ru	Язык учится быстро и легко ― именно методом погружения!	NKRJa			ITR	BW0111	Björn		1	
ru	Олигархи сбегут из опостылевшей России, страна погрузится в экономический хаос [...].	NKRJa			ITR	BW0112	Björn		1	
ru	Хотя между предпринимателями существует жёсткая конкуренция за освободившиеся места.	NKRJa			ITR	BW0113	Björn		1	
ru	Илья, у меня складываются ощущение, что Вы оправдываете свою немощность.	NKRJa			ITR	BW0114	Björn		1	
ru	Наконец обветшало, стёрлось, продырявилось и наконец исчезло, как стираются и исчезают воспоминания.	NKRJa			ITR	BW0115	Björn		1	
