SOURCE	DESC
Komsomol’skaja pravda, 06/08/2008	
AAĖ	Akty archeografičeskoj ėkspedicii. In: Akty, sobrannye v bibliotekachъ i archivaxъ Rossijskoj Imperii archoegrafičeskoju ėkspedicieju Imperatorskoj Akademii Nauk. I: 1294-1598. Sankt-Peterburg 1836.
AiF	Argumenty i fakty
BM	M. Bulgakov, Master i Margarita
CNC	Český národní korpus
Domostroj	Domostroj, Old Church Slavonic Treebank
GVNP	Gramoty Velikogo Novgoroda i Pskova. Moskva 1949.
Holvoet (ESLL)	
hrWaC	hrWaC – Croatian web corpus
Lab88	Labocha, J. 1988. Czasownik mieć z imiesłowem biernym w polszczyźnie mówionej. In: Język Polski 68, 233–242.
NKJP	Narodowy Korpus Języka Polskiego
NKRJa	Nacional'nyj korpus russkogo jazyka
OPUS	OPUS - an open source parallel corpus
PS	Parasolcorpus, http://parasolcorpus.org/
SP2005	
SPOKES	Spokes - a conversational corpus search engine
ДЕТИ БЛОКАДЫ, https://berkovich-zametki.com/2010/Starina/Nomer2/Ochina1.php?fbclid=IwAR1KNMun1O8tRhFmMaENGKctfCHHlKzmuzwILuKn1s97kmaR2YW0QWdMuio	
ČapVěc	K. Čapek, Věc Makropulos
BB-StR40	Birch bark, Staraja Russa 40
Sobornoe	Sobornoe uloženie 1649 goda
Sudebnik 1550	The Code of Law (Sudebnik) of tsar Ivan IV, 1550
Handelsvertrag 1229	Handelsvertrag zwischen Smolensk, Riga und Gotland (1229)
BB-N383	Birch bark, Novgorod 383