EXAMPLE	SOURCE	REFERENCE	REFERENCE_PAGE	CAT	GROUPID	EDITOR	COMMENT	VERSION	COMMENT_INTERN
Стирать ткань? [...] Как часто стираются диваны-стационары в квартирах?	NKRJa			ITR	BW0117	Björn	This example has been adapted from the original source.	1	
Jedyne, co przyszło mu do głowy, to schować się teraz pod kołdrę i nie widzieć zagrożenia. Tak też zrobił.	NKJP			ITR	BW0118	Björn		1	
Karol rzuca się w kierunku Kingi.	NKJP			ITR	BW0120	Björn		1	
Uwielbiacie rządzić, wtrącać się do polityki, wścibiać wszędy nosy i wtykać paluchy.	NKJP			ITR	BW0121	Björn	This example has been adapted from the original source.	1	
Po obiedzie zamknął się w swoim pokoju.	NKJP			ITR	BW0123	Björn		1	
Podciągnij spodnie, bo się przewrócisz ― podtrzymałem ją i pomogłem się zapiąć.	NKJP			ITR	BW0124	Björn	This example has been adapted from the original source.	1	
Dag zaklął, wycofał się i po krótkiej chwili wrócił w towarzystwie najmłodszego Sundanina.	NKJP			ITR	BW0125	Björn		1	
Dla ciebie ja tutaj rządzę – nachylił się nad nim John.	NKJP			ITR	BW0126	Björn		1	
A ty mi się tu nie rządź, braciszku!	NKJP			ITR	BW0127	Björn		1	
No proszę, a przecież sama mi opowiadałaś jak ona się tam rządzi...	NKJP			ITR	BW0128	Björn		1	
Milva zatrzymała się i odwróciła, ostrym ruchem złamała zawadzającą gałązkę wiciokrzewu.	NKJP			ITR	BW0130	Björn		1	
Geralt zerwał się pierwszy.	NKJP			ITR	BW0131	Björn		1	
Romanow wstał z klęczek, zapalił kolejnego papierosa, zaciągnął się mocno, zaklął cicho.	NKJP			ITR	BW0132	Björn		1	
Nie będę się zatem kopał z koniem, ani walczył z orangutanem.	NKJP			ITR	BW0135	Björn		1	
Chodzi o wolność co do informacji, wolność otrzymywania, rozprzestrzeniania, dzielenia się informacją.	NKJP			ITR	BW0136	Björn		1	
Co się czepiasz, kopana ― rzekł pogardliwie Polek. ― Ja się czepiam? To ty mnie popchnąłeś.	NKJP			ITR, ECH	BW0137	Björn	This example has been adapted from the original source.	1	
Ale z tą wodą to już kitowałeś, że się można dokopać?	NKJP			ITR	BW0138	Björn		1	
Chciał ją obrazić, ale ucieszyła się, przestała kopać i dała sobie zrobić zastrzyk uspokajający.	NKJP			ITR, GIVE, IMPP	BW0139	Björn	This example has been adapted from the original source.	1	
Na pewno wszystko w porządku? ― upewniła się Mechowska.	NKJP			ITR	BW0140	Björn	This example has been adapted from the original source.	1	
Ale się pan nie wpakował ― powiedział powoli Jemiołczak. ― Tylko zadzwonił.	NKJP			ITR	BW0141	Björn	This example has been adapted from the original source.	1	
Wpadamy na siebie, przewracamy się, kopiemy się.	NKJP			ITR, RECI	BW0143	Björn		1	
Jeździł na obozy ZMP-owskie, pasjonował się szachami, kopał z nami piłkę.	NKJP			ITR	BW0144	Björn		1	
Wiecie, koń, nim zdąży się przestraszyć, już się płoszy albo kopie.	NKJP			ITR	BW0145	Björn		1	
Coś mi się po łbie kołatało.	NKJP			ITR	BW0146	Björn		1	
W tamtych czasach nadawanie anglosaskich imion i nazwisk tubylcom bardzo się już rozpowszechniło.	NKJP			ITR	BW0151	Björn		1	
Zatkałem mu gębę poduszką, pierze się rozsypało i przykleiło do krwi.	NKJP			ITR	BW0152	Björn		1	
Cieszę się, że nauczyłeś się rozpoznawać nasz dom.	NKJP			ITR	BW0153	Björn		1	
Pan ma psa? To powinien pan mieć. Od psa można się dużo nauczyć.	NKJP			ITR	BW0154	Björn		1	
Młode umysły dawały się łatwiej rządzić wrażeniem niż refleksją.	NKJP			DISP, GIVE	BW0157	Björn		1	
Согласен с автором полностью, а ряду комментаторам маленько не хватает элементарной экономической грамотности.	NKRJa			IPER	BW0159	Björn		1	
Проблем хватает, но пока соберусь с мыслями уже что-нибудь новое случится.	NKRJa			IPER	BW0160	Björn		1	
Таким образом, вся ватага торт попробовала, а его как бы и не убыло.	NKRJa			IPER	BW0161	Björn		1	
В полку льгот и убыло, и прибыло.	NKRJa			IPER	BW0162	Björn		1	
Пошевелилась. Встала на колени. Её сильно вырвало.	NKRJa			IPER	BW0163	Björn		1	
От этих людей пахло потом и нестиранными носками.	NKRJa			IPER	BW0164	Björn		1	
У тебя капустой воняет. Меня тошнит. Её действительно тошнило, от всего.	NKRJa			IPER	BW0164	Björn		1	
В конце дня жара спала, начало вечереть, в лесу стало прохладнее.	NKRJa			IPER	BW0165	Björn		1	
Уже вечерело, но со временем была непонятица ― слишком уж длинный день выдался.	NKRJa			IPER	BW0166	Björn		1	
Świtało, gdy zasypiali.	NKJP			IPER	BW0167	Björn		1	
Świtać wkrótce będzie - powiedziała Milva.	NKJP			IPER	BW0168	Björn		1	
Od wczoraj nie miałem nic w ustach i aż mnie mdliło z głodu.	NKJP			IPER	BW0169	Björn		1	
Dzień w dzień włócząc się po ulicach bez celu, bo odechciało mi się również chodzić do szkoły.	NKJP			IPER	BW0170	Björn		1	
Najchętniej poszukałby innego motelu, lecz w ich sytuacji pozostawało tylko zacisnąć zęby i brać co dają.	NKJP			IPER	BW0172	Björn		1	
Cisza. Chyba je zatkało. Poszły sobie. Widzę je teraz przez okno.	NKJP			IPER	BW0174	Björn		1	
Wciąż brakowało mu głównego elementu w całej konstrukcji.	NKJP			IPER	BW0175	Björn		1	
Dachówki starczy, choćby sporo natłukli przy przekładce.	NKJP			IPER	BW0176	Björn		1	
Zeszli do opustoszałej o tej porze kawiarenki, w której bardziej niż kawą pachniało bigosem.	NKJP			IPER	BW0177	Björn		1	
Jesień zmienia chemię powietrza na tyle, że czuć ją wyraźnie.	NKJP			IPER	BW0178	Björn		1	
Alojz odpowiadał niechętnie, na księdza spoglądał podejrzliwie i widać było, że nie na rękę mu to spotkanie.	NKJP			IPER	BW0179	Björn		1	
Przez kilkucentymetrową szparę widać było wbitą małą, czerwoną chorągiewkę.	NKJP			IPER	BW0179	Björn		1	
W pełnej napięcia ciszy słychać było, jak osa tłucze się wściekle o szybę.	NKJP			IPER	BW0180	Björn		1	
Z pokoju obok słychać płacz Kasi.	NKJP			IPER	BW0180	Björn		1	
Lubił zapach drukarskiej farby. Najintensywniej czuć było książki rumuńskie.	NKJP			IPER	BW0181	Björn		1	
Mężczyzna podniósł kołnierz płaszcza i rozłożył parasol. Dopiero wtedy poczuliśmy, że pada.	NKJP			IPER	BW0182	Björn		1	
I nie gnieć zasłonki! Ciężko się ją prasuje. Jak się pogniecie, nie będzie efektu.	NKJP			IPER, SA-DIR, ITR	BW0183	Björn		1	
Jak się studnię kopie, to wiesz, ile jest kopania?	NKJP			IPER	BW0183	Björn		1	
SEBASTIAN: [...] Uprasować ci? MAGDA: Tej się nie prasuje, głuptasie.	NKJP			IPER	BW0183	Björn	This example has been adapted from the original source.	1	
Cisza trwała; czekano, co powie.	NKJP			IPER	BW0184	Björn		1	
I rzeczywiście, w końcu wzięto się za robotę, wydając na świat [...] klasyczny film animowany.	NKJP			IPER	BW0184	Björn	This example has been adapted from the original source.	1	
Stryj powiedział, że obiecano mu wolność oraz dobrą pracę w Wilnie.	NKJP			IPER	BW0184	Björn		1	
W domu o dziadku Ferdynandzie milczano.	NKJP			IPER	BW0184	Björn		1	
Asnyk nie był świnią i za niecałe tysiąc trzysta złotych dostaliśmy siedem centów.	NKJP			AGRSEM	BW0185	Björn		1	
Wyrwali z mojego portfela ostatnie tysiąc koron czeskich i puścili.	NKJP			AGRSEM	BW0186	Björn		1	
Tam także setki, tysiące ludzi ciągnęło za sobą byle jak opatrzone kikuty.	NKJP			AGRSEM	BW0187	Björn		1	
Wciąż nie traciła nadziei, że znajdzie nową [...] posadę, na której szukanie pozostawało jej [...] trzy miesiące czasu.	NKJP			AGRSEM	BW0188	Björn		1	
Potem następowało szereg pytań i odpowiedzi.	NKJP			AGRSEM	BW0190	Björn		1	
Кадры вызывают всеобщую панику. [...] низвергли статую, низвергнут и режим.	NKRJa			RESULT	BW0192	Björn	This example has been adapted from the original source.	1	
Dopiero o północy stanęliśmy ponownie przed zamkniętą na kłódkę bramą sistiemy.	NKJP			RESULT	BW0193	Björn		1	
Źli, nie myci, nie wyspani, tłukli się pięć dni i pięć nocy.	NKJP			RESULT, RECI	BW0195	Björn		1	
Sprzyjałem mu niezmiennie, choć zamknięty w sobie, mało kontaktowy był z niego gość [...].	NKJP			RESULT	BW0196	Björn		1	
Do domu nie miałem po co wracać.	NKJP			RC, POSS	BW0197	Björn		1	
Ivan je poljubio dami ruku.		Nomachi (2016)	454	POSS	BW0198	Björn		1	
Mamince se točila hlava.		Fried (1999)	483	POSS, ITR	BW0198	Björn		1	
Niedługo później zadzwonił syn. Matura z polskiego była ponoć banalnie łatwa.	NKJP			EVID	BW0198	Björn		1	
Pocałowałem jej drobną rękę pachnącą rybami.	NKJP			POSS	BW0198	Björn		1	
Zabrałem mu łódkę.	NKJP			POSS	BW0198	Björn		1	
Zadzwonili do mnie i prosili o spotkanie. Mieli podobno jakąś ważną sprawę.	NKJP			EVID	BW0198	Björn		1	
Zawsze wolałem maliny. Jeżyny były cierpkie, ale ponoć po wielokroć zdrowsze.	NKJP			EVID	BW0198	Björn		1	
Он наклонился и поцеловал у нее руку.	NKRJa			POSS	BW0198	Björn		1	
Он поцеловал ее в губы.				POSS	BW0198	Björn		1	Činčlej (1990)
Nie wiem, skąd się brała ta moja zawziętość. Nie będę twierdził, jakobym przeczuwał, że on niedługo umrze.	NKJP			EVID	BW0204	Björn		1	
Wiem tylko, że panuje pomysł, żądanie, dogmat, jakoby człowiek powinien być nieustannie szczęśliwy.	NKJP			EVID	BW0204	Björn		1	
Nie widziałem tego pana ani żadnej kobiety, którą rzekomo miał tu przywieźć.	NKJP			EVID	BW0205	Björn		1	
Słyszałaś o tej dziewczynce rzekomo porwanej w Czechach?	NKJP			EVID	BW0205	Björn		1	
Кстати дочка якобы красавица и на неё даже похожа.	NKRJa			EVID	BW0206	Björn		1	
Правда, в статье не были упомянуты имена создателей программы, после чего, якобы обидевшись, они уехали из Иллинойса в Кремниевую Долину.	NKRJa			EVID	BW0206	Björn		1	
При подписании договоров силовикам якобы пообещали так называемые комиссионные в размере $ 6 млн.	NKRJa			EVID	BW0206	Björn		1	
Пусть действительные полководцы не обижаются и не выражают недовольствие тем, что, оказывается, якобы разведчики выиграли эту войну.	NKRJa			EVID, SA-OPT	BW0206	Björn		1	
СМИ хотят вдолбить в мозг людей, будто народ боится прихода коммунистов к власти.	NKRJa			EVID	BW0208	Björn		1	
Мне с ними по жизни не везет ― карма, видимо, у меня такая ― в прошлой жизни, наверно, поиздевалась над ними.	NKRJa			EVID	BW0209	Björn	This example has been adapted from the original source.	1	
Прочтите ещё раз Вашу фразу. Напоминает 12-ть стульев [...]. Поищите реплики м-м Грицацуевой, кажется, это оттуда.	NKRJa			EVID	BW0215	Björn	This example has been adapted from the original source.	1	
Вторая часть понравилась в меньшей степени. А третью я, вроде, когда-то пыталась посмотреть, но осилила минут 10-15, кажется.	NKRJa			EVID	BW0216	Björn	This example has been adapted from the original source.	1	
[...] размахивается и даёт ему кулаком в морду. Философ. Эге, да он ему, кажется, глаз выбил.	NKRJa			EVID	BW0217	Björn	This example has been adapted from the original source.	1	
[...] у меня две девочки 15 и 18. Но мы, похоже, потихоньку выходим из подростков [...].	NKRJa			EVID	BW0223	Björn	This example has been adapted from the original source.	1	
Бывали моменты, когда она позвонит в звонок, я приду, и она мне скажет [...].	NKRJa			ITER	BW0225	Björn	This example has been adapted from the original source.	1	
Как проиграет, Кумилкин быстро это замнет, сдает по новой.	NKRJa			ITER	BW0225	Björn		1	
Уверен, что кто-то попросит рассказать обо всем поподробнее.	NKRJa			EPIST	BW0226	Björn		1	
Да хорошо все будет. Все ты сдашь.	NKRJa			EPIST	BW0228	Björn	This example has been adapted from the original source.	1	
Мы её положим на стол, и она придёт в себя.	NKRJa			EPIST	BW0231	Björn		1	
У вас всё же эшелон есть, и он поздно или рано всё равно куда-то пойдёт.	NKRJa			EPIST	BW0234	Björn		1	
Вообще-то рассуждать на эту тему совершенно бессмысленно, тут есть что-то, чего словами не опишешь.	NKRJa			CIRC, EPIST	BW0235	Björn		1	
[...] лучше не мудрить, выбрать законопослушный вариант, и тогда путешествие [...] превзойдёт все ваши ожидания.	NKRJa			EPIST	BW0236	Björn	This example has been adapted from the original source.	1	
Интересное начинание, но вряд ли производители на такое пойдут.	NKRJa			EPIST	BW0238	Björn		1	
[...] А зачем нужны глаза без взгляда? Без взгляда собеседника ты сам окажешься для него невидимым.	NKRJa			EPIST	BW0239	Björn	This example has been adapted from the original source.	1	
Как бы сильно автор не рисковал, найдётся некто ленивый, кто непременно скажет [...]. И скорее всего, окажется прав.	NKRJa			EPIST, ITER	BW0240	Björn	This example has been adapted from the original source.	1	
Posłuchaj, pan Leszek na pewno to zrozumie, że [...] trzeba odłożyć na bok różne sprawy [...].	NKJP			EPIST	BW0241	Björn	This example has been adapted from the original source.	1	
Na pewno będzie fajnie ― zobaczysz [...].	NKJP			EPIST	BW0242	Björn	This example has been adapted from the original source.	1	
Oni do siebie pasują. Kinga nigdy nie znajdzie lepszego faceta.	NKJP			EPIST, RECI	BW0243	Björn		1	
Ma pan na pewno różne swoje przyzwyczajenia [...]. To wszystko wyjdzie dopiero w takim normalnym codziennym życiu.	NKJP			EPIST	BW0244	Björn	This example has been adapted from the original source.	1	
Prałem, sprzątałem ― I myślę, że to się nie zmieni.	NKJP			EPIST	BW0245	Björn	This example has been adapted from the original source.	1	
No i co, młody, tak się nakręciłeś, że może mnie jeszcze uderzysz?!	NKJP			EPIST	BW0246	Björn		1	
A co mi tam [...], tam miałem ciasno. Tu wygodniej. ― Jeszcze cię kiedy stąd wypędzą. ― A kto mnie wypędzi?	NKJP			EPIST	BW0247	Björn	This example has been adapted from the original source.	1	
Na partyzantkę to się ksiądz nie nada.	NKJP			DISP	BW0248	Björn		1	
Nawet pewnie ksiądz strzelać nie umie.	NKJP			DISP, EPIST	BW0248	Björn		1	
Ilekroć przyjdą robić mi remanent, zawsze mnie ten czy ów nie omieszka zapytać, czy [...].	NKJP			ITER	BW0249	Björn		1	
Niezależnie od tego, jak daleko się wybierzesz, zawsze znajdziesz coś dla siebie.	NKJP			ITER	BW0250	Björn		1	
Żeby przed oczami zrobiło mi się ciemno, nie trzeba mi nigdy dużo. Jedna kropla wystarczy mi zawsze.	NKJP			ITER	BW0251	Björn		1	
[...] zaprzyjaźnij się z nim [ze wszechświatem] i kiedy masz wątpliwości, poproś o pomoc [...] a on ci pomoże, bo pomaga zawsze.	NKJP			ITER, EPIST	BW0252	Björn		1	
Piję, no, lubię sobie golnąć ― Czasem wezmę niuch kokainki albo sięgnę po pejotl [...].	NKJP			ITER	BW0253	Björn	This example has been adapted from the original source.	1	
Wygram z tobą zawsze i wszędzie [...], na hulajnodze, trójkołowym rowerku i kucyku.	NKJP			ITER	BW0254	Björn	This example has been adapted from the original source.	1	
Po dokonaniu zakupów towar był wysyłany przez subiektów do domu klienta.	NKJP			DOM-ANIM	BW0256	Björn		1	
Kłaki i pakuły sterczące [...] z kormoranów, czapli, ibisów ― żeby wymienić [...] typowych przedstawicieli ptactwa wodnego [...].	NKJP			DOM-ANIM	BW0257	Björn	This example has been adapted from the original source.	1	
Kiedy [...] badacz spotyka przedstawiciela jakiegoś gatunku owadów, Majewski podaje rzetelną charakterystykę stwora [...].	NKJP			DOM-ANIM	BW0258	Björn		1	
Archaniz spojrzała z gniewem na nowego przedstawiciela kociego rodu.	NKJP			DOM-ANIM	BW0259	Björn		1	
W domu pełno było psów i kotów, które uważano przecież za członków rodziny.	NKJP			DOM-ANIM	BW0261	Björn		1	
Jednocześnie wierzyli w czyhające w jarach olbrzymy [...], baldwiny wabiące nieostrożnych wędrowców [...] i skrzaty.	NKJP			DOM-ANIM	BW0264	Björn		1	
Włodek [...] wspomagał kontrolę prowadzoną przez skrzatów z grupy Wasyl.	NKJP			DOM-ANIM	BW0264	Björn	This example has been adapted from the original source.	1	
Zresztą dotąd nikogo z państwa nie spotkałem osobiście, znałem skrzaty tylko ze słyszenia, z opowieści.	NKJP			DOM-ANIM	BW0264	Björn		1	
Tu widywał karły i dziewczęta przeraźliwie tłuste.	NKJP			DOM-ANIM	BW0265	Björn		1	
Gollum [...] teraz nadal tropi hobbitów, na koniec obgryza Frodowi rękę i wpada do lawy.	NKJP			DOM-ANIM, POSS	BW0267	Björn	This example has been adapted from the original source.	1	
Stwór, spaczony przez pierścień, obiecuje poprowadzić hobbitów do Czarnych Wrót Mordoru.	NKJP			DOM-ANIM	BW0268	Björn		1	
[...] w świecie fantasy zaludnionym przez elfy, krasnoludy, hobbitów, czarnoksiężników i smoki.	NKJP			DOM-ANIM	BW0269	Björn		1	
[...] ездит этот изнеженный Чичиков [...] и встречает не людей ― а кукол фарфоровых.	NKRJa			DOM-ANIM	BW0270	Björn	This example has been adapted from the original source.	1	
Как некоторые любят и собирают кукол, так Маруся собирала диваны.	NKRJa			DOM-ANIM	BW0272	Björn		1	
Гэмбл виртуозно водит марионеток.	NKRJa			DOM-ANIM	BW0273	Björn		1	
Склеить нас, двух [...] кукол-марионеток ― нутро-к-нутру?	NKRJa			DOM-ANIM	BW0275	Björn	This example has been adapted from the original source.	1	
[...] Алёша увидел две фарфоровые китайские куклы, которых вчера он не заметил.	NKRJa			DOM-ANIM	BW0276	Björn		1	
Она говорит ― Куклы покупал? ― Я говорю ― Много чего покупал. Иногда покупал куклы.	NKRJa			DOM-ANIM	BW0277	Björn	This example has been adapted from the original source.	1	
[...] оставшийся прах собирали в мешочки и помещали в ритуальные куклы-манекены [...].	NKRJa			DOM-ANIM	BW0278	Björn		1	
Nie mówię do ciebie, ale wiem, jak się chłopy myją.	NKJP			DSM-ANIM	BW0279	Björn		1	
Jak chcą chłopy, niechby się i bili, ale żeby kobiety z dziećmi za ich wojny nie płaciły.	NKJP			DSM-ANIM	BW0280	Björn		1	
Tylko w głębi pod oknem dwaj chłopi o twarzach sinoczerwonych kiwali się nad szklanicami piwa.	NKJP			DSM-ANIM	BW0284	Björn		1	
W drugiej sali chłopaki w napięciu obserwowali rozgrywkę bilardową pod wąskim snopem lampy.	NKJP			DSM-ANIM	BW0285	Björn		1	
W ogóle w załodze powinny być same chłopaki, i koniec!	NKJP			DSM-ANIM	BW0286	Björn		1	
Chłopi mało mnie nie zatłukli, na szczęście nie wiedzieli, jak się do tego zabrać ― Podziurawili mnie kołkami.	NKJP			DSM-ANIM	BW0288	Björn	This example has been adapted from the original source.	1	
Anzelm i Janusz, obaj kończący już gimnazjum chłopacy, pokazywali się tylko przy stole.	NKJP			DSM-ANIM	BW0289	Björn	This example has been adapted from the original source.	1	
Zacząłem, jak te chłopaki, jeździć po pociągach.	NKJP			DSM-ANIM	BW0289	Björn		1	
Zoltan żartował, że upiory i wszelkie inne demony musiały dowiedzieć się o nadciągających wojskach.	NKJP			DSM-ANIM	BW0290	Björn		1	
Ale pomylili się w rachubach, mimo iż gazety redagowały w tych dniach diabły. A tron okupowały bałwany.	NKJP			DSM-ANIM	BW0293	Björn		1	
Na czwartej [skrzyni] siedział poszukiwany byczek, umieszczony tu przez diabłów, pilnujących tego zbójeckiego skarbu.	NKJP			DSM-ANIM	BW0297	Björn	This example has been adapted from the original source.	1	
Gobliny czy też hobbity ― nie umiałem nigdy tego spamiętać ― umiały wyczyniać takie sztuki.	NKJP			DSM-ANIM	BW0299	Björn	This example has been adapted from the original source.	1	
Rohańscy i gondorscy wojownicy, elfy, hobbity a nawet Nazgule pojawili się w piątek w Krakowie.	NKJP			DSM-ANIM	BW0300	Björn		1	
Zaraz, zaraz, o czym to ja marzyłem, że było mi z tym tak dobrze? ― Aha, już wiem.	NKJP			MFOC	BW0301	Björn	This example has been adapted from the original source.	1	
Zresztą, poniekąd to pan jest za to odpowiedzialny [...].	NKJP			MFOC	BW0303	Björn	This example has been adapted from the original source.	1	
Wreszcie stało się jasne, dlaczego ktoś chciał, by to on zajął się tą sprawą.	NKJP			MFOC	BW0305	Björn		1	
Przypominam, że od września to on będzie decydował o twojej pensji.	NKJP			MFOC	BW0310	Björn		1	
Как будто собирают трофеи своей победы. Можно подумать, что это они, американцы, разбили немцев.	NKRJa			MFOC	BW0313	Björn	This example has been adapted from the original source.	1	
Сидевшие рядом с ним удивлялись ― откуда это он знает, что будет петь Архипова.	NKRJa			MFOC	BW0315	Björn		1	
Это откуда же такая хорошая квартирка взялась? ― плаксиво вопросила Алла Владимировна.	NKRJa			MFOC	BW0316	Björn		1	
Я сначала тебя проскочил, вот тут вот развернулся уже. Быстро это очень всё рассказал.	NKRJa			MFOC	BW0318	Björn	This example has been adapted from the original source.	1	
О, Вань, это с кем это ты тут любезничаешь?	NKRJa			MFOC	BW0319	Björn	This example has been adapted from the original source.	1	
Dolewają wody do paliwa [...], jak ci, co to u nich pan Jezus na weselu był, żenili wino wodą [...].	NKJP			MFOC, RC	BW0322	Björn		1	
Postępuje pan nietypowo [...], oferuje pan zapłatę, zanim nam pan powiedział, o czym to mamy mianowicie milczeć [...].	NKJP			MFOC, RC	BW0323	Björn	This example has been adapted from the original source.	1	
I łazić to on nie potrzebuje, ma motor.	NKJP			MTOP	BW0324	Björn		1	
Dobierać sobie wrogów to trzeba umieć. A ty masz z tym problemy. ― A może to oni mają?	NKJP			MTOP	BW0326	Björn	This example has been adapted from the original source.	1	
A co się tyczy tych siedmiu kawalerów, to z nimi ja będę miał jeszcze oddzielną rozprawę!	NKJP			MTOP	BW0328	Björn		1	
Wysportowane to one [dzieci] są, zdrowe to one są, wesołe to one są, ale pogadać z nimi to nie ma o czym.	NKJP			MTOP	BW0331	Björn	This example has been adapted from the original source.	1	
Zobaczymy, czy będzie taki szczęśliwy. U Starego Sępa ciemno, ale z nim to nigdy nic nie wiadomo.	NKJP			MTOP	BW0332	Björn		1	
Стальной корпус женских часов украшен бриллиантами, они же использованы вместо цифр.	NKRJa			MTOP	BW0333	Björn		1	
Конечно, творчество было приоритетным, но зарплата хотя и вторична ― о ней же забывать нельзя!	NKRJa			MTOP	BW0335	Björn		1	
Dwa kubły [...] stały na samym czubku mola, który to czubek świecił dziurami niczym sito.	NKJP			MTOP, RC	BW0336	Björn		1	
Naświetlił sylwetkę partyzanta Bajorkina, co to w koszuli zaszył legitymację.	NKJP			MTOP, RC	BW0340	Björn		1	
